Hauteur
4,51425
3,905333333
3,354
2,699333333
2,18725
2,407142857
4,078333333
5,1334
5,856
6,074333333
5,771666667
5,169
4,691
4,204
3,495333333
2,803
2,27475
2,25
3,491666667
4,9534
5,74425
6,0954
5,97175
5,3625
4,9555
4,393
3,324
2,973
2,5195
2,138
2,8016
4,3825
5,2905
6,0474
6,14275
5,871666667
5,181
4,559
3,83
3,082666667
2,624
2,184
2,5575
4,204
5,2306
6,0584
6,2658
6,019333333
5,191333333
4,752
4,09
3,401
2,687
2,198
2,1976
3,261666667
4,79075
5,7362
6,21175
6,085
5,344
4,771
4,437
3,5175
2,685
2,3375
2,16825
3,004
4,81525
5,6746
6,248
6,187857143
5,6175
5,09
4,348
3,6615
3,086
2,59675
2,0288
2,20425
4,085
5,197
6,0006
6,231166667
5,949
5,261
4,52675
3,849
3,421
2,77075
2,1486
2,466888889
3,8325
5,280166667
6,1
6,371
5,9775
5,4
4,854
4,65725
3,597666667
2,887
2,338666667
2,128
3,119666667
4,62625
5,50225
6,115333333
6,0652
5,346
4,851333333
4,012
3,477
2,7825
2,3595
2,174777778
3,0328
4,635
5,538
6,1982
6,1848
5,419
4,866
4,5505
4,5055
3,2098
2,681
2,15125
2,272727273
3,6385
5,0662
5,805166667
6,088166667
5,727333333
5,059
4,657333333
3,899
3,266
2,654
2,189333333
2,339363636
3,915666667
5,084
5,8172
6,2232
5,982
5,236
4,624
4,1145
3,462
2,897
2,4545
2,162
2,6442
4,4498
5,4515
6,047
5,9862
5,403333333
4,725333333
4,207333333
3,7192
3,1772
2,5216
2,2455
2,8996
4,08625
5,418333333
6,0246
6,139333333
5,662666667
5,084
4,634
4,076
3,342
2,811666667
2,268666667
2,3902
3,642
4,8635
5,7336
5,9496
5,652
5,05875
4,569
4,0312
3,526666667
2,933714286
2,4902
2,387875
3,539
4,827333333
5,671333333
6,015833333
5,81075
5,258
4,775
4,264
4,36225
3,24
2,6665
2,288857143
2,510666667
3,964
5,0614
5,6702
5,7405
5,331
4,869
4,4945
4,1
3,38
2,910333333
2,6096
2,751333333
3,862
5,1078
5,79
5,8728
5,4295
5,095333333
4,6525
4,357
4
3,29
2,872
2,5652
2,7598
4,4674
5,357714286
5,66
5,534
5,1705
4,829
4,5055
4,247
3,760333333
3,19225
2,804333333
2,999142857
4,117
5,253666667
5,716333333
5,712333333
5,43
5,082
4,786
4,390666667
3,848
3,441
2,9875
2,7905
3,017285714
4,351
5,1242
5,461
5,354666667
5,11
4,878333333
4,63
4,1945
3,735
3,295
2,920666667
3,041333333
4,3295
5,135666667
5,611833333
5,608
5,219
4,83975
4,918666667
4,564333333
3,998666667
3,515
3,106
2,78925
3,002571429
4,2985
