Week_Ending	NSW	QLD	VIC	SA	ACT	WA	TAS
13-Aug-17	325052.97	397118.72	300605.92	316450.65	297911.9	371885.74	446202.9
20-Aug-17	320778.82	396863.9	294081.9	308728.39	289015.47	362389.04	448449.1
27-Aug-17	354567.57	404293.87	318777.77	343842.79	316520.6	396920.82	491216
03-Sep-17	404222.02	437648.77	369880.89	387850.55	362150.43	432305.33	575396.8
10-Sep-17	306798.63	376718.23	288434.86	295019.22	284655.43	360398.67	427782.3
17-Sep-17	321329.6	398402.49	297685.64	316468.25	295962.7	372629.34	460972.6
24-Sep-17	363238.62	429786.08	339207.2	361947.04	329046.67	438599.29	553070.1
01-Oct-17	405194.02	478094.56	404480.34	433761.64	330357.87	404648.95	609782.8
08-Oct-17	328647.77	368023.26	304826.13	320650.65	288372.7	374242.46	463339.8
15-Oct-17	333915.8	384856.56	313386.36	339306.32	307243.2	387704.61	505418.1
22-Oct-17	350833.85	385656.57	343669.82	360561.3	322726.07	398851.26	505094.7
29-Oct-17	380668.27	420400.95	368886.59	376956.99	346220.97	420143.84	595662.1
05-Nov-17	378286.92	420771.1	375818.42	367611.26	340269.6	443970.02	637173.9
12-Nov-17	375962.63	405337.5	378322.17	380170.87	322715.43	439504.48	600468
19-Nov-17	392164.75	437231.28	368822.35	385731.11	331259.13	442936.65	587063.4
26-Nov-17	445436.47	450856.14	425193.49	457773.15	380837.23	490056.48	736595.2
03-Dec-17	484048.83	496171.61	425540.28	467751.58	415008.37	554340.19	747080.4
10-Dec-17	562920.48	543678.21	495789.08	496655.32	471971.5	592834.22	912913.1
17-Dec-17	714221.53	653026.22	621408.15	628158.54	604525.53	682180.24	1067269.50
24-Dec-17	1197390.45	1199505.18	1053850.72	1119259.35	970409.00	1242570.07	1656888.20
31-Dec-17	443023.23	443622.80	404003.33	406646.59	308395.27	441114.41	648663.40
07-Jan-18	279116.73	312473.27	249067.62	274535.49	232689.23	309060.95	458377.70
14-Jan-18	318439.42	364007.90	285355.72	305643.49	269749.33	365134.99	531576.10
21-Jan-18	350366.68	378566.79	332325.18	369752.96	311741.47	395717.52	628081.30
28-Jan-18	419080.40	452985.44	393921.52	418526.53	341171.60	481356.48	685410.00
04-Feb-18	320577.27	334820.05	302190.92	308882.08	283300.23	359511.57	525103.70
11-Feb-18	342252.05	357866.65	328208.90	336994.17	301938.27	378328.39	586562.90
18-Feb-18	360471.57	384622.10	333615.98	340217.66	308453.20	398264.90	543386.80
25-Feb-18	347824.87	359325.37	328123.93	333340.70	292828.07	388651.84	564207.60
04-Mar-18	348889.82	372221.60	330125.97	337733.98	298815.73	412160.16	591152.10
11-Mar-18	345226.13	363776.49	365091.92	373754.33	315991.13	388560.81	587031.50
18-Mar-18	350883.55	387800.84	330110.23	322341.31	304691.93	388479.36	554996.20
25-Mar-18	362867.37	403654.84	352130.52	371183.02	316686.33	417217.57	602213.70
01-Apr-18	446399.90	512421.65	400091.63	453648.68	361791.47	499985.31	632544.00
08-Apr-18	339774.75	360339.90	306328.65	309973.21	297765.97	344294.65	525632.80
15-Apr-18	341119.88	375913.94	297540.75	316458.09	300227.40	350376.75	534354.70
22-Apr-18	339167.43	387039.81	302405.13	324735.14	298270.50	359294.35	530281.40
29-Apr-18	339464.04	402884.36	318635.50	325608.86	320216.60	369161.10	518787.50
06-May-18	326479.85	420998.54	303126.97	311688.62	292462.87	342233.00	530292.40
13-May-18	326836.29	370655.03	293026.52	320910.70	290490.93	357351.50	517240.90
20-May-18	322614.26	371664.55	287895.75	302975.26	288091.10	345646.05	510702.50
27-May-18	323395.37	375048.93	299110.33	308063.28	287386.00	336532.70	520557.40
03-Jun-18	310370.48	363807.25	284489.62	299907.88	277052.97	357701.50	498018.40
10-Jun-18	339521.76	371760.38	303381.35	338876.61	292248.73	302861.45	515755.90
17-Jun-18	301469.51	369160.02	274970.27	284165.07	263800.17	325772.50	460109.10
24-Jun-18	318034.58	393135.15	293452.88	305684.18	285880.47	334633.10	481478.80
01-Jul-18	323279.00	388960.88	295475.97	317142.75	295086.73	347471.35	512626.40
08-Jul-18	324616.21	395138.83	299891.75	314322.28	288884.93	330726.05	521182.20
15-Jul-18	324845.32	402485.88	291866.22	314818.71	291358.83	342524.50	523670.40
22-Jul-18	319217.83	397489.25	282436.05	306125.21	279661.80	319643.15	493456.70
29-Jul-18	322558.19	394606.84	293101.52	312185.44	287594.63	330859.90	507669.80
05-Aug-18	317579.26	391441.73	286868.87	302893.86	288279.20	324728.10	465020.60
12-Aug-18	333370.10	400915.45	289689.61	305974.51	296464.30	332885.25	485408.00
19-Aug-18	329373.49	408707.05	287942.62	311295.47	292546.47	341562.45	500612.20
26-Aug-18	342364.74	404214.02	311045.59	330723.41	316175.20	354982.55	560839.40
02-Sep-18	397741.97	447772.64	362050.75	394011.07	347477.53	397103.90	633579.10
